Age,Chubb 安達,Blue Cross 藍十字,FTLife 富通,Zurich 蘇黎世,YF Life 萬通,Dah Sing 大新,BOC Life 中銀人壽,BOC 中銀,Taiping Life 太平人壽,China Taiping 中國太平,Sun Life 永明,Well Link Life 立橋人壽,MSIG,Liberty 利寶,Manulife 宏利,Asia Insurance 亞洲保險,Bupa 保柏,Bowtie 保泰,Prudential 保誠,Cigna Worldwide 信諾環球,Bolttech 保特,HSBC Life 滙豐,Hong Kong Life 香港人壽,FWD 富衛人壽,China Life 中國人壽,AIA 友邦,Avo 安我,AXA 安盛,ZA Life 眾安人壽
60,"7,261","11,619","6,298.00","7,596","9,063","11,473","8,663.00","8,855","8,582.54","10,022","5,873.00","7,022.00","9,666","7,281","5,823","8,253","10,250",5064,"8,490.75","7,820","7,068","7,371","7,374.00","7,909","6,104",7155.2,"7,154","7,020","5,110"
61,"7,323","12,069","6,671.00","8,196","9,312","11,806","8,862.00","9,112","8,831.31","10,471","6,052.00","7,282.00","16,200","7,741","6,204","8,253","10,719",5412,"9,045.41","8,195","7,417","7,610","7,594.00","8,238","6,293",7635.2,"7,416","7,248","5,470"
62,"7,544","12,534","7,120.00","8,616","9,570","12,147","9,235","9,378","9,089.77","10,849","6,234.00","7,551.00","16,200","8,201","6,609","8,253","11,199",5700,"9,636.27","8,589","7,765","7,850","7,822.00","8,635","6,488",8070.4,"7,796","7,476","5,755"
63,"7,779","13,018","7,646.00","8,988","9,843","12,494","9,648","9,700","9,401.54","11,116","6,424.00","7,831.00","16,200","8,661","7,012","8,253","11,689",6060,"10,265.73","9,000","8,117","8,195","8,095.00","9,051","6,722",8537.6,"7,897","7,805","6,115"
64,"8,014","13,521","8,248.00","9,396","10,315","13,035","10,011","10,032","9,723.00","11,347","6,656.00","8,121.00","16,200","9,121","7,417","8,253","12,186",6396,"10,936.26","9,433","8,457","8,652","8,379.00","9,478","6,966",8934.4,"8,108","8,240","6,455"
65,"8,236","14,208","8,928.00","9,456","10,835","13,591","10,879","10,377","10,057.38","11,882","6,895.00","8,434.00","16,200","9,581","7,839","9,408","12,689",6708,"11,445.98","9,886","8,803","9,164","8,672.00","9,911","7,218",9606.4,"8,454","8,728","6,775"
66,"8,492","15,097","9,558.00","10,008","11,367","14,162","11,371","10,735","10,404.69","12,433","7,143.00","8,940.00","16,200","10,088","8,076","9,408","13,195",7044,"11,979.41","10,380","9,171","9,734","8,982.00","10,342","7,481",10035.2,"8,775","9,270","7,115"
67,"8,754","16,042","10,191.00","10,416","11,910","14,747","11,798","11,105","10,763.31","13,012","7,401.00","9,476.00","16,200","10,595","8,395","9,408","13,699",7296,"12,537.72","10,899","9,563","10,266","9,299.00","10,773","7,754",10483.2,"8,887","9,777","7,365"
68,"9,024","17,047","10,842.00","10,836","12,480","15,531","12,370","11,678","11,319.00","13,636","7,667.00","10,045.00","16,200","11,101","8,750","9,408","14,198",7560,"13,122.07","11,444","9,975","10,816","9,786.00","11,202","8,169",10976,"9,003","10,301","7,630"
69,"9,515","18,113","11,512.00","11,328","13,109","16,815","12,978","12,265","11,887.62","14,284","8,035.00","10,648.00","16,200","11,607","9,140","9,408","14,688",7920,"13,733.62","12,016","10,405","11,353","10,287.00","11,636","8,595",11488,"9,121","10,812","8,000"
