Age,Chubb 安達,Blue Cross 藍十字,FTLife 富通,Zurich 蘇黎世,YF Life 萬通,Dah Sing 大新,BOC Life 中銀人壽,BOC Group 中銀集團,Taiping Life 太平人壽,China Taiping 中國太平,Sun Life 永明,Well Link Life 立橋人壽,MSIG,Liberty 利寶,Manulife 宏利,Asia Insurance 亞洲保險,Bupa 保柏,Bowtie 保泰,Prudential 保誠,Cigna Worldwide 信諾環球,Bolttech 保特,HSBC Life 滙豐,Hong Kong Life 香港人壽,FWD 富衛人壽,China Life 中國人壽,AIA 友邦,Avo 安我,AXA 安盛,ZA Life 眾安人壽
68,"9,771","17,047","12,631.00","11,556","9,240","16,927","13,099.00","13,305","12,895.62","14,445","8,209.00","10,693.00","16,200","11,101","9,304","11,825","14,198",8088,"14,093.07","11,444","10,385","11,081","11,218.00","11,845","9,172",11110.4,"9,982","10,553","8,170"
69,"10,216","18,113","13,418.00","12,096","9,692","18,188","13,770.00","13,868","13,441.62","15,068","8,594.00","11,281.00","16,200","11,607","9,707","11,825","14,688",8472,"14,768.01","12,016","10,953","11,759","11,702.00","12,466","9,560",11641.6,"10,113","11,199","8,555"
70,"10,690","18,926","14,234.00","12,708","10,183","19,425","14,275.00","14,417","13,973.08","15,710","8,996.00","11,901.00","16,200","12,114","10,122","14,375","15,165",8880,"15,390.18","12,616","11,532","12,468","12,175.00","13,063","9,991",12185.6,"12,978","11,874","8,960"
71,"11,165","19,459","15,078.00","13,296","10,528","20,596","14,704.00","14,957","14,496.46","16,320","9,448.00","12,692.00","20,304","12,706","10,563","14,375","15,623",9288,"16,038.63","13,272","12,115","13,224","12,644.00","13,660","10,422",12940.8,"13,161","12,594","9,380"
72,"11,682","20,007","15,078.00","13,776","10,778","21,736","15,137.00","15,490","15,013.38","16,952","9,924.00","13,187.00","20,304","13,299","11,029","14,375","16,056",9660,"16,714.35","13,961","12,702","14,016","13,108.00","14,257","10,852",13766.4,"13,349","13,349","9,755"
73,"12,214","20,572","15,078.00","14,232","10,887","22,936","15,550.00","15,942","15,451.15","17,606","10,421.00","13,701.00","20,304","13,891","11,510","14,375","16,459",10056,"17,418.59","14,688","13,168","14,679","13,506.00","14,852","11,230",14604.8,"13,542","13,980","10,150"
74,"12,667","21,152","15,078.00","14,652","10,992","23,922","15,969.00","16,427","15,921.23","18,283","10,946.00","14,236.00","20,304","14,484","11,902","14,375","16,825",10440,"18,152.44","15,452","13,568","15,023","13,932.00","15,448","11,635",15488,"13,741","14,308","10,545"
75,"13,141","21,787","15,078.00","15,012","11,182","24,915","16,297.00","16,928","16,407.46","18,826","11,610.00","14,791.00","20,304","15,076","12,261","16,682","17,147",10872,"18,816.85","16,256","13,894","15,307","14,387.00","16,048","12,056",16160,"16,184","14,578","10,975"
76,"13,644","22,440","15,078.00","15,588","11,285","25,855","16,699.00","17,435","16,898.54","19,382","12,194.00","15,368.00","20,304","15,549","12,776","16,682","17,416",11196,"19,505.59","17,134","14,263","15,516","14,847.00","16,647","12,486",16851.2,"16,429","14,777","11,280"
77,"14,140","23,115","15,078.00","16,212","11,458","26,824","17,103.00","17,973","17,420.31","19,952","12,807.00","15,967.00","20,304","16,021","13,297","16,682","17,626",11400,"20,219.52","18,059","14,561","15,657","15,336.00","17,246","12,944",17580.8,"16,682","14,911","11,455"
